answer_id,assort_s,assort_is,baseline
100146,"A metaclass is the class of a class. Like a class defines how an instance of the class behaves, a metaclass defines how a class behaves. A class is an instance of a metaclass. type is the usual metaclass in Python. To create your own metaclass in Python you really just want to subclass type. The metaclass is determined by looking at the baseclasses of the class-to-be (metaclasses are inherited), at the __metaclass__ attribute of the class-to-be (if any) or the __metaclass__ global variable. ","A metaclass is the class of a class. Like a class defines how an instance of the class behaves, a metaclass defines how a class behaves. A class is an instance of a metaclass. To create your own metaclass in Python you really just want to subclass type. When the class statement is executed, Python first executes the body of the class statement as a normal block of code. The metaclass is determined by looking at the baseclasses of the class-to-be (metaclasses are inherited), at the __metaclass__ attribute of the class-to-be (if any) or the __metaclass__ global variable. The metaclass is then called with the name, bases and attributes of the class to instantiate it. You can, for instance, define normal methods on the metaclass. ","A metaclass is the class of a class. Like a class defines how an instance of the class behaves, a metaclass defines how a class behaves. A class is an instance of a metaclass. type is the usual metaclass in Python. To create your own metaclass in Python you really just want to subclass type. Like you create an instance of the class by calling the class, Python creates a new class (when it executes the 'class' statement) by calling the metaclass. The resulting namespace (a dict) holds the attributes of the class-to-be. The metaclass is determined by looking at the baseclasses of the class-to-be (metaclasses are inherited), at the __metaclass__ attribute of the class-to-be (if any) or the __metaclass__ global variable. Here's an aggregated example of the bits and pieces: "
101276,"Main messages :) The Zen of Python, by Tim Peters ","Main messages :) The Zen of Python, by Tim Peters Complex is better than complicated. Sparse is better than dense. ","The Zen of Python, by Tim Peters Sparse is better than dense. Unless explicitly silenced. Now is better than never. If the implementation is hard to explain, it's a bad idea. "
1041880,"extern ""C"" makes a function-name in C++ have 'C' linkage (compiler does not mangle the name) so that client C code can link to (i.e use) your function using a 'C' compatible header file that contains just the declaration of your function. Since C++ has overloading of function names and C does not, the C++ compiler cannot just use the function name as a unique id to link to, so it mangles the name by adding information about the arguments. Just so you know, you can specify ""C"" linkage to each individual declaration/definition explicitly or use a block to group a sequence of declarations/definitions to have a certain linkage: If you care about the technicalities, they are listed in section 7.5 of the C++03 standard, here is a brief summary (with emphasis on extern ""C""): extern ""C"" is a linkage-specification Every compiler is required to provide ""C"" linkage a linkage specification shall occur only in namespace scope  all function types, function names and variable names have a language linkage  See Richard's Comment: Only function names and variable names with external linkage have a language linkage two function types with distinct language linkages are distinct types even if otherwise identical linkage specs nest, inner one determines the final linkage extern ""C"" is ignored for class members at most one function with a particular name can have ""C"" linkage (regardless of namespace)  extern ""C"" forces a function to have external linkage (cannot make it static)   See Richard's comment:    'static' inside 'extern ""C""' is valid; an entity so declared has internal linkage, and so does not have a language linkage Linkage from C++ to objects defined in other languages and to objects defined in C++ from other languages is implementation-defined and language-dependent. ","extern ""C"" makes a function-name in C++ have 'C' linkage (compiler does not mangle the name) so that client C code can link to (i.e use) your function using a 'C' compatible header file that contains just the declaration of your function. Your function definition is contained in a binary format (that was compiled by your C++ compiler) that the client 'C' linker will then link to using the 'C' name. Since C++ has overloading of function names and C does not, the C++ compiler cannot just use the function name as a unique id to link to, so it mangles the name by adding information about the arguments. Just so you know, you can specify ""C"" linkage to each individual declaration/definition explicitly or use a block to group a sequence of declarations/definitions to have a certain linkage: If you care about the technicalities, they are listed in section 7.5 of the C++03 standard, here is a brief summary (with emphasis on extern ""C""): extern ""C"" is a linkage-specification Every compiler is required to provide ""C"" linkage a linkage specification shall occur only in namespace scope  all function types, function names and variable names have a language linkage  See Richard's Comment: Only function names and variable names with external linkage have a language linkage two function types with distinct language linkages are distinct types even if otherwise identical linkage specs nest, inner one determines the final linkage extern ""C"" is ignored for class members at most one function with a particular name can have ""C"" linkage (regardless of namespace)  extern ""C"" forces a function to have external linkage (cannot make it static)   See Richard's comment:    'static' inside 'extern ""C""' is valid; an entity so declared has internal linkage, and so does not have a language linkage Linkage from C++ to objects defined in other languages and to objects defined in C++ from other languages is implementation-defined and language-dependent. Only where the object layout strategies of two language implementations are similar enough can such linkage be achieved ","extern ""C"" makes a function-name in C++ have 'C' linkage (compiler does not mangle the name) so that client C code can link to (i.e use) your function using a 'C' compatible header file that contains just the declaration of your function. Your function definition is contained in a binary format (that was compiled by your C++ compiler) that the client 'C' linker will then link to using the 'C' name. Since C++ has overloading of function names and C does not, the C++ compiler cannot just use the function name as a unique id to link to, so it mangles the name by adding information about the arguments. A C compiler does not need to mangle the name since you can not overload function names in C.  When you state that a function has extern ""C"" linkage in C++, the C++ compiler does not add argument/parameter type information to the name used for linkage. Just so you know, you can specify ""C"" linkage to each individual declaration/definition explicitly or use a block to group a sequence of declarations/definitions to have a certain linkage: If you care about the technicalities, they are listed in section 7.5 of the C++03 standard, here is a brief summary (with emphasis on extern ""C""): extern ""C"" is a linkage-specification Every compiler is required to provide ""C"" linkage a linkage specification shall occur only in namespace scope  all function types, function names and variable names have a language linkage  See Richard's Comment: Only function names and variable names with external linkage have a language linkage two function types with distinct language linkages are distinct types even if otherwise identical linkage specs nest, inner one determines the final linkage extern ""C"" is ignored for class members at most one function with a particular name can have ""C"" linkage (regardless of namespace)  extern ""C"" forces a function to have external linkage (cannot make it static)   See Richard's comment:    'static' inside 'extern ""C""' is valid; an entity so declared has internal linkage, and so does not have a language linkage Linkage from C++ to objects defined in other languages and to objects defined in C++ from other languages is implementation-defined and language-dependent. Only where the object layout strategies of two language implementations are similar enough can such linkage be achieved "
1207373,"Data URIs are now supported by the following web browsers: Gecko-based, such as Firefox, SeaMonkey, XeroBank, Camino, Fennec and K-Meleon Konqueror, via KDE's KIO slaves input/output system Opera (including devices such as the Nintendo DSi or Wii) WebKit-based, such as Safari (including on iOS), Android's browser, Epiphany and Midori (WebKit is a derivative of Konqueror's KHTML engine, but Mac OS X does not share the KIO architecture so the implementations are different), as well as Webkit/Chromium-based, such as Chrome Trident      Internet Explorer 8: Microsoft has limited its support to certain ""non-navigable"" content for security reasons, including concerns that JavaScript embedded in a data URI may not be interpretable by script filters such as those used by web-based email clients. Data URIs must be smaller than 32 KiB in Version 8[3]. Data URIs are supported only for the following elements and/or attributes[4]:      object (images only) img input type=image link CSS declarations that accept a URL, such as background-image, background, list-style-type, list-style and similar. Internet Explorer 9: Internet Explorer 9 does not have 32KiB limitation and allowed in broader elements. TheWorld Browser: An IE shell browser which has a built-in support for Data URI scheme http://en.wikipedia.org/wiki/Data_URI_scheme#Web_browser_support ","Data URIs are now supported by all major browsers. IE supports embedding images since version 8 as well. Data URIs are now supported by the following web browsers: Gecko-based, such as Firefox, SeaMonkey, XeroBank, Camino, Fennec and K-Meleon Konqueror, via KDE's KIO slaves input/output system Opera (including devices such as the Nintendo DSi or Wii) WebKit-based, such as Safari (including on iOS), Android's browser, Epiphany and Midori (WebKit is a derivative of Konqueror's KHTML engine, but Mac OS X does not share the KIO architecture so the implementations are different), as well as Webkit/Chromium-based, such as Chrome Trident      Internet Explorer 8: Microsoft has limited its support to certain ""non-navigable"" content for security reasons, including concerns that JavaScript embedded in a data URI may not be interpretable by script filters such as those used by web-based email clients. Data URIs must be smaller than 32 KiB in Version 8[3]. Data URIs are supported only for the following elements and/or attributes[4]:      object (images only) img input type=image link CSS declarations that accept a URL, such as background-image, background, list-style-type, list-style and similar. Internet Explorer 9: Internet Explorer 9 does not have 32KiB limitation and allowed in broader elements. TheWorld Browser: An IE shell browser which has a built-in support for Data URI scheme http://en.wikipedia.org/wiki/Data_URI_scheme#Web_browser_support ","Data URIs are now supported by all major browsers. IE supports embedding images since version 8 as well. http://caniuse.com/#feat=datauri Data URIs are now supported by the following web browsers: Gecko-based, such as Firefox, SeaMonkey, XeroBank, Camino, Fennec and K-Meleon Konqueror, via KDE's KIO slaves input/output system Opera (including devices such as the Nintendo DSi or Wii) WebKit-based, such as Safari (including on iOS), Android's browser, Epiphany and Midori (WebKit is a derivative of Konqueror's KHTML engine, but Mac OS X does not share the KIO architecture so the implementations are different), as well as Webkit/Chromium-based, such as Chrome Trident      Internet Explorer 8: Microsoft has limited its support to certain ""non-navigable"" content for security reasons, including concerns that JavaScript embedded in a data URI may not be interpretable by script filters such as those used by web-based email clients. Data URIs must be smaller than 32 KiB in Version 8[3]. Data URIs are supported only for the following elements and/or attributes[4]:      object (images only) img input type=image link CSS declarations that accept a URL, such as background-image, background, list-style-type, list-style and similar. Internet Explorer 9: Internet Explorer 9 does not have 32KiB limitation and allowed in broader elements. TheWorld Browser: An IE shell browser which has a built-in support for Data URI scheme http://en.wikipedia.org/wiki/Data_URI_scheme#Web_browser_support "
1669524,"Below is the usual way an object instance calls a method. The object instance, a, is implicitly passed as the first argument. With classmethods, the class of the object instance is implicitly passed as the first argument instead of self. One use people have found for class methods is to create inheritable alternative constructors. With staticmethods, neither self (the object instance) nor  cls (the class) is implicitly passed as the first argument. They behave like plain functions except that you can call them from an instance or the class: Staticmethods are used to group functions which have some logical connection with a class to the class. And of course the same thing happens when you call static_foo with the class A instead. ","Below is the usual way an object instance calls a method. The object instance, a, is implicitly passed as the first argument. With classmethods, the class of the object instance is implicitly passed as the first argument instead of self. One use people have found for class methods is to create inheritable alternative constructors. With staticmethods, neither self (the object instance) nor  cls (the class) is implicitly passed as the first argument. They behave like plain functions except that you can call them from an instance or the class: Staticmethods are used to group functions which have some logical connection with a class to the class. That is what is meant by the term ""bound"" below: static_foo expects 1 argument, anda.static_foo expects 1 argument too. And of course the same thing happens when you call static_foo with the class A instead. ","Below is the usual way an object instance calls a method. The object instance, a, is implicitly passed as the first argument. With classmethods, the class of the object instance is implicitly passed as the first argument instead of self. One use people have found for class methods is to create inheritable alternative constructors. With staticmethods, neither self (the object instance) nor  cls (the class) is implicitly passed as the first argument. They behave like plain functions except that you can call them from an instance or the class: Staticmethods are used to group functions which have some logical connection with a class to the class. foo expects 2 arguments, while a.foo only expects 1 argument. With a.class_foo, a is not bound to class_foo, rather the class A is bound to class_foo. static_foo expects 1 argument, anda.static_foo expects 1 argument too. And of course the same thing happens when you call static_foo with the class A instead. "
1669579,"@classmethod A class method receives the class as  implicit first argument, just like an  instance method receives the instance. To declare a class method, use this  idiom: @staticmethod A static method does not receive an  implicit first argument. To declare a  static method, use this idiom: The @staticmethod form is a function  decorator Ã©Â?see the description of  function definitions in Function  definitions for details. ","@classmethod A class method receives the class as  implicit first argument, just like an  instance method receives the instance. To declare a class method, use this  idiom: If you want  those, see staticmethod() in this  section. @staticmethod A static method does not receive an  implicit first argument. To declare a  static method, use this idiom: It can be called either on the class  (such as C.f()) or on an instance  (such as C().f()). The instance is  ignored except for its class. ","Official python docs: @classmethod A class method receives the class as  implicit first argument, just like an  instance method receives the instance. To declare a class method, use this  idiom: It can be called either on the class  (such as C.f()) or on an instance  (such as C().f()). If a  class method is called for a derived  class, the derived class object is  passed as the implied first argument. @staticmethod A static method does not receive an  implicit first argument. To declare a  static method, use this idiom: It can be called either on the class  (such as C.f()) or on an instance  (such as C().f()). "
141576,"Applying a single left bitshift gets us: The leftmost zero was shifted out of the byte, and a new zero was appended to the right end of the byte. The bits don't rollover; they are discarded. Shifting left by N is equivalent to multiplying by 2N. Shifting right by N is (if you are using ones' complement) is the equivalent of dividing by 2N and rounding to zero. So scaling by a compile-time-constant that's known to be a power-of-2 can be even more efficient than a multiply. ","Applying a single left bitshift gets us: The leftmost zero was shifted out of the byte, and a new zero was appended to the right end of the byte. The bits don't rollover; they are discarded. Shifting left by N is equivalent to multiplying by 2N. Shifting right by N is (if you are using ones' complement) is the equivalent of dividing by 2N and rounding to zero. Almost all low-level graphics routines use bitshifting. Now, back in that day and age, speed was critical, so we would use bitshifts to do this operation. So scaling by a compile-time-constant that's known to be a power-of-2 can be even more efficient than a multiply. ","Applying a single left bitshift gets us: The leftmost zero was shifted out of the byte, and a new zero was appended to the right end of the byte. The bits don't rollover; they are discarded. That means if you left shift 1101100 and then right shift it, you won't get the same result back. Shifting left by N is equivalent to multiplying by 2N. Shifting right by N is (if you are using ones' complement) is the equivalent of dividing by 2N and rounding to zero. Almost all low-level graphics routines use bitshifting. In 32 or 64-bit mode, both versions get a lot shorter and faster. Modern out-of-order execution CPUs like Intel Skylake (see http://agner.org/optimize/) have very fast hardware multiply (low latency and high throughput), so the gain is much smaller. "
141873,"The bit shifting operators do exactly what their name implies. They shift bits. &gt;&gt; is the  arithmetic (or signed) right shift operator. &gt;&gt;&gt; is the logical (or unsigned) right shift operator. &lt;&lt; is the left shift operator, and meets the needs of both logical and arithmetic shifts. All of these operators can be applied to integer values (int, long, possibly short and byte or char). In some languages, applying the shift operators to any datatype smaller than int automatically resizes the operand to be an int. By padding with the most significant bit, the arithmetic right shift is sign-preserving. ","The bit shifting operators do exactly what their name implies. They shift bits. &gt;&gt; is the  arithmetic (or signed) right shift operator. &gt;&gt;&gt; is the logical (or unsigned) right shift operator. &lt;&lt; is the left shift operator, and meets the needs of both logical and arithmetic shifts. All of these operators can be applied to integer values (int, long, possibly short and byte or char). In some languages, applying the shift operators to any datatype smaller than int automatically resizes the operand to be an int. Also note that C and C++ do not distinguish between the right shift operators. Logical right shift (>>>) Lost bits are gone ","The bit shifting operators do exactly what their name implies. They shift bits. &gt;&gt; is the  arithmetic (or signed) right shift operator. &gt;&gt;&gt; is the logical (or unsigned) right shift operator. &lt;&lt; is the left shift operator, and meets the needs of both logical and arithmetic shifts. All of these operators can be applied to integer values (int, long, possibly short and byte or char). In some languages, applying the shift operators to any datatype smaller than int automatically resizes the operand to be an int. Integers are stored, in memory, as a series of bits. to the right by one position (12 &gt;&gt;&gt; 1) will get back our original 6: to the left 4 positions (939,524,102 &lt;&lt; 4), we get 2,147,483,744: So we see that we have preserved the sign of our negative numbers by using the arithmetic right shift, rather than the logical right shift. "
226844,"$this-&gt; is used to refer to a specific instance of a class's variables (member variables) or methods. Inside the $derek instance, we can refer to those as $this->first_name and $this->last_name If it helps, you can mentally replace the word ""static"" with ""shared"". SELF::If you are coding outside the object that has the static method you want to refer to, you must call it using the object's name View::format_phone_number($phone_number);If you are coding inside the object that has the static method you want to refer to, you can either use the object's name View::format_phone_number($pn), OR you can use the self::format_phone_number($pn)  shortcut The same goes for static variables:Example: View::templates_path versus self::templates_path Inside the DB class, if we were referring to a static method of some other object, we would use the object's name:Example: Session::getUsersOnline(); But if the DB class wanted to refer to its own static variable, it would just say self:Example: self::connection; ","$this-&gt; is used to refer to a specific instance of a class's variables (member variables) or methods. $derek is now a specific instance of Person.Every Person has a first_name and a last_name, but $derek has a specific first_name and last_name (Derek Martin). If it helps, you can mentally replace the word ""static"" with ""shared"". Why bother, then, if we could just have it not as part of the object? First, attaching functions to objects helps you keep things organized, so you know where to find them. SELF::If you are coding outside the object that has the static method you want to refer to, you must call it using the object's name View::format_phone_number($phone_number);If you are coding inside the object that has the static method you want to refer to, you can either use the object's name View::format_phone_number($pn), OR you can use the self::format_phone_number($pn)  shortcut The same goes for static variables:Example: View::templates_path versus self::templates_path Inside the DB class, if we were referring to a static method of some other object, we would use the object's name:Example: Session::getUsersOnline(); But if the DB class wanted to refer to its own static variable, it would just say self:Example: self::connection; ","$this-&gt; is used to refer to a specific instance of a class's variables (member variables) or methods. If it helps, you can mentally replace the word ""static"" with ""shared"". Because they are shared, they cannot refer to $this, which refers to a specific instance (not shared). Static Method Example: It's just working with the parameters you pass in, like a normal function that's not part of an object. Yay static methods! SELF::If you are coding outside the object that has the static method you want to refer to, you must call it using the object's name View::format_phone_number($phone_number);If you are coding inside the object that has the static method you want to refer to, you can either use the object's name View::format_phone_number($pn), OR you can use the self::format_phone_number($pn)  shortcut The same goes for static variables:Example: View::templates_path versus self::templates_path Inside the DB class, if we were referring to a static method of some other object, we would use the object's name:Example: Session::getUsersOnline(); But if the DB class wanted to refer to its own static variable, it would just say self:Example: self::connection; "
2226955,"An object receives clicks to its padding, but clicks on an objects margin'd area go to its parent. border: solid white 1px; ","An object receives clicks to its padding, but clicks on an objects margin'd area go to its parent. background: blue; } &lt;div class=""inner"" style=""position:relative; height:0px; width:0px""&gt; ","An object receives clicks to its padding, but clicks on an objects margin'd area go to its parent. }); .inner { padding: 10px; &lt;div class=""outer""&gt; "
256447,"Lazy loaded objects are subclasses If your objects are persisted using an ORM, in many cases you will be dealing with dynamic proxies to avoid loading object too early from the data store. These proxies are implemented as subclasses of your own class. This means thatthis.getClass() == o.getClass() will return false. A pattern I often use is ","Lazy loaded objects are subclasses If your objects are persisted using an ORM, in many cases you will be dealing with dynamic proxies to avoid loading object too early from the data store. These proxies are implemented as subclasses of your own class. This means thatthis.getClass() == o.getClass() will return false. Lazy loaded objects have null-fields ORMs usually use the getters to force loading of lazy loaded objects. hashCode() should use the non-changing subset of properties from equals() ","Lazy loaded objects are subclasses If your objects are persisted using an ORM, in many cases you will be dealing with dynamic proxies to avoid loading object too early from the data store. These proxies are implemented as subclasses of your own class. This means thatthis.getClass() == o.getClass() will return false. For example: If you're dealing with an ORM, using o instanceof Person is the only thing that will behave correctly. A pattern I often use is In my Person example, I probably would use getName() for hashCode and getId() plus getName() (just for paranoia) for equals(). "
1255015,"const_cast(expression) The const_cast&lt;>() is used to add/remove  const(ness) (or volatile-ness) of a variable. static_cast(expression) The static_cast&lt;>() is used to cast between  the integer types. Static cast is also used to cast pointers to related types, for  example casting void* to the appropriate type. Dynamic cast is used to convert pointers and references at run-time,  generally for the purpose of casting a pointer or reference up or down  an inheritance chain (inheritance hierarchy). Dynamic cast works  only when the type of object to which the expression refers is  compatible with the target type and the base class has at least one  virtual member function. ","const_cast(expression) The const_cast&lt;>() is used to add/remove  const(ness) (or volatile-ness) of a variable. static_cast(expression) The static_cast&lt;>() is used to cast between  the integer types. Static cast is also used to cast pointers to related types, for  example casting void* to the appropriate type. Dynamic cast is used to convert pointers and references at run-time,  generally for the purpose of casting a pointer or reference up or down  an inheritance chain (inheritance hierarchy). reinterpret_cast Reinterpret cast simply casts one type bitwise to another. For instance, with reinterpret cast one  might, unsafely, cast an integer pointer to a string pointer. ","const_cast(expression) The const_cast&lt;>() is used to add/remove  const(ness) (or volatile-ness) of a variable. static_cast(expression) The static_cast&lt;>() is used to cast between  the integer types. Static cast is also used to cast pointers to related types, for  example casting void* to the appropriate type. Dynamic cast is used to convert pointers and references at run-time,  generally for the purpose of casting a pointer or reference up or down  an inheritance chain (inheritance hierarchy). dynamic_cast(expression) Dynamic cast works  only when the type of object to which the expression refers is  compatible with the target type and the base class has at least one  virtual member function. When it doesn't fail, dynamic  cast returns a pointer or reference of the target type to the object  to which expression referred. Any pointer  or integral type can be casted to any other with reinterpret cast,  easily allowing for misuse. "
